,Date,Volume,Open,High,Low,Close,MAm,MAn,MAdelta,EMAm,EMAn,MACD,Signal,MACDdelta,Change,Gain,Loss,AveGain,AveLoss,RS,RSI,TradingVolRec,TradingVolActual,Fee,ContractHeld,CashBal,Asset
122,2011-07-01,13138,2997,3014,2980,2997,3280.52,3157.1,-123.42000000000007,3295.2202360872093,3136.226886028601,-158.99335005860848,-130.52451859582322,-28.46883146278526,-64.0,0.0,64.0,9.865077943823445,19.66297447136549,0.5017083228272313,33.40917242055879,-4.0,0.0,0.0,0.0,10000000.0,10000000.0
123,2011-07-04,10443,3016,3033,2994,3016,3273.23,3140.45,-132.7800000000002,3289.691122501324,3124.7767064068294,-164.91441609449475,-137.40249809555752,-27.511917998937236,19.0,19.0,0.0,10.321824046632273,18.679825747797217,0.5525653282846845,35.59047198968261,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
124,2011-07-05,13149,2985,3005,2972,2985,3265.55,3124.2,-141.35000000000036,3283.6576349270404,3111.4646391299884,-172.19299579705194,-144.3605976358564,-27.832398161195528,-31.0,0.0,31.0,9.805732844300659,19.295834460407356,0.5081787400498693,33.69486166030069,-4.0,0.0,0.0,0.0,10000000.0,10000000.0
125,2011-07-06,12612,2984,3000,2965,2984,3257.81,3109.55,-148.25999999999976,3277.72382037403,3099.325149689037,-178.3986706849928,-151.1682122456837,-27.230458439309103,-1.0,0.0,1.0,9.315446202085626,18.381042737386988,0.506796395350196,33.634032900139175,-4.0,0.0,0.0,0.0,10000000.0,10000000.0
126,2011-07-07,9603,2998,3013,2980,2998,3250.19,3096.35,-153.84000000000015,3272.184734822069,3089.675135432938,-182.50959938913093,-157.43648967437315,-25.073109714757777,14.0,14.0,0.0,9.549673891981346,17.461990600517638,0.5468834630857182,35.353889037949685,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
127,2011-07-08,12833,3038,3059,3022,3038,3244.05,3088.15,-155.9000000000001,3267.5474133404437,3084.7536939631345,-182.79371937730912,-162.50793561496033,-20.285783762348785,40.0,40.0,0.0,11.072190197382278,16.588891070491755,0.6674460728166116,40.02804550609406,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
128,2011-07-11,9409,3027,3052,3004,3027,3238.56,3080.15,-158.40999999999985,3262.7840982247913,3079.2533421571216,-183.5307560676697,-166.7124997055022,-16.81825636216749,-11.0,0.0,11.0,10.518580687513165,16.309446516967167,0.6449379306998797,39.20743261269894,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
129,2011-07-12,12318,2991,3007,2980,2991,3232.69,3069.35,-163.34000000000015,3257.4022348936073,3070.8482619516813,-186.55397294192608,-170.680794352787,-15.873178589139087,-36.0,0.0,36.0,9.992651653137505,17.29397419111881,0.5778111810915709,36.621060112644535,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
130,2011-07-13,9263,3024,3044,3004,3024,3227.62,3059.85,-167.76999999999998,3252.7804084600707,3066.3865227181877,-186.39388574188297,-173.82341263060619,-12.570473111276783,33.0,33.0,0.0,11.14301907048063,16.42927548156287,0.6782416597119855,40.41382573165197,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
131,2011-07-14,12390,3074,3094,3058,3074,3222.96,3054.65,-168.30999999999995,3249.2402023519503,3067.1116157926463,-182.12858655930404,-175.48444741634574,-6.644139142958295,50.0,50.0,0.0,13.085868116956599,15.607811707484725,0.8384178616584201,45.605402294236356,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
132,2011-07-15,9386,3075,3087,3064,3075,3219.75,3051.55,-168.19999999999982,3245.789901315278,3067.8628904790608,-177.92701083621705,-175.97296010032,-1.9540507358970558,1.0,1.0,0.0,12.481574711108768,14.827421122110488,0.8417899922257135,45.70499328256482,-8.0,0.0,0.0,0.0,10000000.0,10000000.0
